,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2011-01-06 01:00:00,5.075815e+20,35.082,147.922,153.465,55.628,0.42232192,877022100000.0,-0.0026473,-0.00087639,41.616,0.671,164541700000.0,3049.536,3.102238e+21,30.371,15.927,1.188309e+18,0.168,0.873,0.842,0.923,0.28343096,28832910000.0,0.00600326,0.00198741,1.522,110428100000.0,27.48876,2.796382e+19,0.049
2011-01-06 02:00:00,4.911819e+20,33.38,165.305,171.012,60.262,1.32045102,783118200000.0,-0.00708311,-0.00302015,43.497,1.954,434582800000.0,2960.186,2.543524e+21,25.75,7.728,1.009116e+18,0.157,0.879,0.85,0.923,0.28632307,24602150000.0,0.00543232,0.0023163,1.499,94233760000.0,26.53551,2.280049e+19,0.119
2011-01-06 03:00:00,4.986144e+20,36.745,153.762,159.291,61.259,2.04621744,801375300000.0,0.02094192,0.00857436,42.895,5.976,725555700000.0,2994.974,2.772288e+21,28.123,14.347,1.075523e+18,0.168,0.884,0.829,0.935,0.28528917,26407690000.0,0.0053534,0.002192,1.528,101158900000.0,26.90851,2.490777e+19,0.067
2011-01-06 04:00:00,5.46875e+20,33.139,158.577,163.343,63.689,1.31856,901232900000.0,0.00890005,0.00347604,45.281,2.614,504474800000.0,2957.379,2.953502e+21,26.347,9.707,1.074702e+18,0.147,0.811,0.773,0.875,0.27143595,27108010000.0,0.00529955,0.0020698,1.556,103850100000.0,26.1164,2.608216e+19,0.069
2011-01-06 05:00:00,5.668884e+20,34.98,146.866,152.324,58.869,0.25330916,1024814000000.0,-0.00267879,-0.00094183,50.574,0.785,212241800000.0,3041.448,3.364634e+21,28.986,14.886,1.152649e+18,0.153,0.795,0.751,0.864,0.26822427,29672590000.0,0.00533824,0.00187687,1.563,113682400000.0,25.74495,2.848063e+19,0.066
2011-01-06 06:00:00,5.456236e+20,31.963,157.561,166.176,58.843,1.03164017,904789000000.0,0.00886171,0.00362305,46.349,2.638,382145600000.0,2763.536,2.671831e+21,24.767,4.258,1.014078e+18,0.137,0.809,0.752,0.887,0.26811618,25921900000.0,0.00514699,0.00210436,1.532,99317010000.0,24.65301,2.383492e+19,0.226
2011-01-06 07:00:00,6.644286e+20,31.635,154.533,156.427,63.481,0.60105211,1059370000000.0,0.00248496,0.0010225,57.647,0.9,311343700000.0,2693.539,3.147882e+21,24.085,5.455,1.066777e+18,0.109,0.679,0.648,0.742,0.22544949,26347800000.0,0.00460991,0.00189687,1.669,100950800000.0,21.38801,2.499572e+19,0.062
2011-01-06 08:00:00,6.605054e+20,31.603,147.633,146.327,63.612,0.81718975,988110100000.0,-0.00277937,-0.00103081,50.95,0.96,387122600000.0,2297.272,2.840368e+21,23.476,3.759,1.007844e+18,0.105,0.602,0.581,0.658,0.20023218,24756890000.0,0.00455186,0.00168822,1.572,94854820000.0,18.05452,2.232278e+19,0.397
2011-01-06 09:00:00,6.515529e+20,33.921,136.693,138.008,56.23,0.65612167,1080624000000.0,0.00886447,0.0026917,50.046,2.783,345197600000.0,2194.102,3.012935e+21,26.035,7.93,9.882125e+17,0.106,0.541,0.514,0.6,0.18308194,25140760000.0,0.00456626,0.00138651,1.434,96322750000.0,15.98884,2.195583e+19,0.111
2011-01-06 10:00:00,6.035983e+20,33.47,135.034,135.464,57.907,0.4941012,903696900000.0,-0.00326591,-0.00095284,41.351,0.918,242092900000.0,2203.969,2.818669e+21,26.294,8.307,9.652678e+17,0.121,0.577,0.538,0.641,0.19695351,25188500000.0,0.00482189,0.0014068,1.355,96500570000.0,17.43549,2.229835e+19,0.111
2011-01-06 11:00:00,5.973653e+20,34.093,135.546,136.364,56.831,1.03031135,1016719000000.0,0.00394227,0.00112603,41.64,1.096,510023400000.0,2246.219,2.902534e+21,27.745,12.025,1.073147e+18,0.14,0.637,0.592,0.718,0.22129375,28595280000.0,0.0052639,0.00150351,1.463,109544500000.0,18.62073,2.406145e+19,0.045
2011-01-06 12:00:00,5.733482e+20,34.125,136.48,139.313,54.95,0.17165451,1002415000000.0,0.01015342,0.0029676,44.945,2.727,80249450000.0,2291.517,2.796733e+21,26.926,9.14,1.088271e+18,0.148,0.698,0.639,0.798,0.24315201,29676030000.0,0.00554432,0.00162049,1.489,113674900000.0,20.7833,2.536545e+19,0.081
2011-01-06 13:00:00,6.80609e+20,34.412,145.475,149.184,62.471,1.09479773,1200761000000.0,-0.00335627,-0.00110859,56.513,1.143,574146600000.0,2354.491,3.223801e+21,25.528,9.214,1.186165e+18,0.147,0.679,0.619,0.775,0.23699473,32449630000.0,0.00498946,0.00164805,1.699,124287500000.0,20.05891,2.746493e+19,0.09
2011-01-06 14:00:00,6.986514e+20,32.095,150.026,150.901,64.337,1.37866259,1217766000000.0,-0.01279785,-0.00433046,58.514,4.456,721542400000.0,2400.208,3.280022e+21,24.702,6.511,1.236116e+18,0.155,0.707,0.648,0.819,0.24796791,33886240000.0,0.00511166,0.00172967,1.78,129777500000.0,20.73758,2.833908e+19,0.076
2011-01-06 15:00:00,7.773413e+20,38.244,135.346,136.409,58.123,1.40309393,1455354000000.0,-0.01560333,-0.00421135,60.302,5.694,964744400000.0,2324.665,4.173973e+21,30.424,19.009,1.319596e+18,0.133,0.587,0.526,0.673,0.20486504,36783850000.0,0.0050213,0.0013553,1.832,140861800000.0,17.85262,3.205467e+19,0.005
2011-01-06 16:00:00,9.540309e+20,37.181,144.686,145.199,62.575,0.50415212,1752493000000.0,-0.0018466,-0.0005461,77.777,0.85,399175500000.0,2442.829,5.051196e+21,28.305,12.01,1.34217e+18,0.103,0.51,0.465,0.58,0.17777789,36760280000.0,0.0043464,0.00128538,2.001,140760300000.0,16.44327,3.40008e+19,0.053
2011-01-06 17:00:00,1.093301e+21,37.888,143.798,142.789,62.596,0.36768615,1975430000000.0,-0.00265375,-0.00078994,87.54,1.422,336539300000.0,2542.54,6.07789e+21,28.59,13.611,1.339739e+18,0.084,0.438,0.401,0.493,0.15093091,36079720000.0,0.00381844,0.00113665,2.046,138145500000.0,14.83293,3.545781e+19,0.015
2011-01-06 18:00:00,1.147994e+21,40.36,140.76,141.342,66.515,0.63987428,1995423000000.0,-0.00782457,-0.00251405,90.325,4.669,604190300000.0,2732.225,6.738152e+21,29.713,16.424,1.362388e+18,0.08,0.43,0.393,0.49,0.14949338,36867720000.0,0.00367877,0.00118206,2.195,141156600000.0,15.31201,3.776212e+19,0.031
2011-01-06 19:00:00,1.187827e+21,37.002,166.569,165.967,76.391,0.29065979,1976302000000.0,-0.00781754,-0.00304639,100.28,5.109,292347600000.0,3251.319,7.241108e+21,26.641,10.614,1.4258e+18,0.085,0.501,0.456,0.569,0.17402597,38757840000.0,0.00384641,0.00149894,2.514,148390500000.0,18.68518,4.161432e+19,0.014
2011-01-06 20:00:00,1.254564e+21,35.118,165.247,166.217,76.574,0.80371803,2058814000000.0,-0.00513364,-0.00210914,115.899,3.596,696770800000.0,3291.647,7.453326e+21,25.245,7.507,1.604061e+18,0.097,0.564,0.51,0.652,0.19904754,45070630000.0,0.00412738,0.00169574,2.891,172561200000.0,20.97225,4.748778e+19,0.059
