,hnum,date,flare_type,H_till_flare
20000,2964,2013-07-19 15:00:00,0,-1.0
20001,2964,2013-07-19 16:00:00,0,-1.0
20002,2964,2013-07-19 17:00:00,0,-1.0
20003,2964,2013-07-19 18:00:00,0,-1.0
20004,2964,2013-07-19 19:00:00,0,-1.0
20005,2964,2013-07-19 20:00:00,0,-1.0
20006,2964,2013-07-19 21:00:00,0,-1.0
20007,2964,2013-07-19 22:00:00,0,-1.0
20008,2964,2013-07-19 23:00:00,0,-1.0
20009,2964,2013-07-20 00:00:00,0,-1.0
20010,2964,2013-07-20 01:00:00,0,-1.0
20011,2964,2013-07-20 02:00:00,0,-1.0
20012,2964,2013-07-20 03:00:00,0,-1.0
20013,2964,2013-07-20 04:00:00,0,-1.0
20014,2964,2013-07-20 05:00:00,0,-1.0
20015,2964,2013-07-20 06:00:00,0,-1.0
20016,2964,2013-07-20 07:00:00,0,-1.0
20017,2964,2013-07-20 08:00:00,0,-1.0
20018,2964,2013-07-20 09:00:00,0,-1.0
20019,2964,2013-07-20 10:00:00,0,-1.0
20020,2964,2013-07-20 11:00:00,0,-1.0
20021,2964,2013-07-20 12:00:00,0,-1.0
20022,2964,2013-07-20 13:00:00,0,-1.0
20023,2964,2013-07-20 14:00:00,0,-1.0
20024,2964,2013-07-20 15:00:00,0,-1.0
20025,2964,2013-07-20 16:00:00,0,-1.0
20026,2964,2013-07-20 17:00:00,0,-1.0
20027,2964,2013-07-20 18:00:00,0,-1.0
20028,2964,2013-07-20 19:00:00,0,-1.0
20029,2964,2013-07-20 20:00:00,0,-1.0
20030,2964,2013-07-20 21:00:00,0,-1.0
20031,2964,2013-07-20 22:00:00,0,-1.0
20032,2964,2013-07-20 23:00:00,0,-1.0
20033,2964,2013-07-21 00:00:00,0,-1.0
20034,2964,2013-07-21 01:00:00,0,-1.0
20035,2964,2013-07-21 02:00:00,0,-1.0
20036,2964,2013-07-21 03:00:00,0,-1.0
20037,2964,2013-07-21 04:00:00,0,-1.0
20038,2964,2013-07-21 05:00:00,0,-1.0
20039,2964,2013-07-21 06:00:00,0,-1.0
20040,2964,2013-07-21 07:00:00,0,-1.0
20041,2964,2013-07-21 08:00:00,0,-1.0
20042,2964,2013-07-21 09:00:00,0,-1.0
20043,2964,2013-07-21 10:00:00,0,-1.0
20044,2964,2013-07-21 11:00:00,0,-1.0
20045,2964,2013-07-21 12:00:00,0,-1.0
20046,2964,2013-07-21 13:00:00,0,-1.0
20047,2964,2013-07-21 14:00:00,0,-1.0
20048,2964,2013-07-21 15:00:00,0,-1.0
