,hnum,date,flare_type,H_till_flare
50000,4424,2014-08-07 22:00:00,0,-1.0
50001,4424,2014-08-07 23:00:00,0,-1.0
50002,4424,2014-08-08 00:00:00,0,-1.0
50003,4424,2014-08-08 01:00:00,0,-1.0
50004,4424,2014-08-08 02:00:00,0,-1.0
50005,4424,2014-08-08 03:00:00,0,-1.0
50006,4424,2014-08-08 04:00:00,0,-1.0
50007,4424,2014-08-08 05:00:00,0,-1.0
50008,4424,2014-08-08 06:00:00,0,-1.0
50009,4424,2014-08-08 07:00:00,0,-1.0
50010,4424,2014-08-08 08:00:00,0,-1.0
50011,4424,2014-08-08 09:00:00,0,-1.0
50012,4424,2014-08-08 10:00:00,0,-1.0
50013,4424,2014-08-08 11:00:00,0,-1.0
50014,4424,2014-08-08 12:00:00,0,-1.0
50015,4424,2014-08-08 13:00:00,0,-1.0
50016,4424,2014-08-08 14:00:00,0,-1.0
50017,4424,2014-08-08 15:00:00,0,-1.0
50018,4424,2014-08-08 16:00:00,0,-1.0
50019,4424,2014-08-08 17:00:00,0,-1.0
50020,4424,2014-08-08 18:00:00,0,-1.0
50021,4424,2014-08-08 19:00:00,0,-1.0
50022,4424,2014-08-08 20:00:00,0,-1.0
50023,4424,2014-08-08 21:00:00,0,-1.0
50024,4424,2014-08-08 22:00:00,0,-1.0
50025,4424,2014-08-08 23:00:00,0,-1.0
50026,4424,2014-08-09 00:00:00,0,-1.0
50027,4424,2014-08-09 01:00:00,0,-1.0
50028,4424,2014-08-09 02:00:00,0,-1.0
50029,4424,2014-08-09 03:00:00,0,-1.0
50030,4424,2014-08-09 04:00:00,0,-1.0
50031,4424,2014-08-09 05:00:00,0,-1.0
50032,4424,2014-08-09 06:00:00,0,-1.0
50033,4424,2014-08-09 07:00:00,0,-1.0
50034,4424,2014-08-09 08:00:00,0,-1.0
50035,4424,2014-08-09 09:00:00,0,-1.0
50036,4424,2014-08-09 10:00:00,0,-1.0
50037,4424,2014-08-09 11:00:00,0,-1.0
50038,4424,2014-08-09 12:00:00,0,-1.0
50039,4424,2014-08-09 13:00:00,0,-1.0
50040,4424,2014-08-09 14:00:00,0,-1.0
50041,4424,2014-08-09 15:00:00,0,-1.0
50042,4424,2014-08-09 16:00:00,0,-1.0
50043,4424,2014-08-09 17:00:00,0,-1.0
50044,4424,2014-08-09 18:00:00,0,-1.0
50045,4424,2014-08-09 19:00:00,0,-1.0
50046,4424,2014-08-09 20:00:00,0,-1.0
50047,4424,2014-08-09 21:00:00,0,-1.0
50048,4424,2014-08-09 22:00:00,0,-1.0
50049,4424,2014-08-09 23:00:00,0,-1.0
50050,4424,2014-08-10 00:00:00,0,-1.0
50051,4424,2014-08-10 01:00:00,0,-1.0
50052,4424,2014-08-10 02:00:00,0,-1.0
50053,4424,2014-08-10 03:00:00,0,-1.0
50054,4424,2014-08-10 04:00:00,0,-1.0
50055,4424,2014-08-10 05:00:00,0,-1.0
50056,4424,2014-08-10 06:00:00,0,-1.0
50057,4424,2014-08-10 07:00:00,0,-1.0
50058,4424,2014-08-10 08:00:00,0,-1.0
50059,4424,2014-08-10 09:00:00,0,-1.0
50060,4424,2014-08-10 10:00:00,0,-1.0
50061,4424,2014-08-10 11:00:00,0,-1.0
50062,4424,2014-08-10 12:00:00,0,-1.0
50063,4424,2014-08-10 13:00:00,0,-1.0
50064,4424,2014-08-10 14:00:00,0,-1.0
50065,4424,2014-08-10 15:00:00,0,-1.0
50066,4424,2014-08-10 16:00:00,0,-1.0
50067,4424,2014-08-10 17:00:00,0,-1.0
50068,4424,2014-08-10 18:00:00,0,-1.0
50069,4424,2014-08-10 19:00:00,0,-1.0
50070,4424,2014-08-10 20:00:00,0,-1.0
50071,4424,2014-08-10 21:00:00,0,-1.0
50072,4424,2014-08-10 22:00:00,0,-1.0
50073,4424,2014-08-10 23:00:00,0,-1.0
50074,4424,2014-08-11 00:00:00,0,-1.0
50075,4424,2014-08-11 01:00:00,0,-1.0
50076,4424,2014-08-11 02:00:00,0,-1.0
50077,4424,2014-08-11 03:00:00,0,-1.0
50078,4424,2014-08-11 04:00:00,0,-1.0
50079,4424,2014-08-11 05:00:00,0,-1.0
50080,4424,2014-08-11 06:00:00,0,-1.0
50081,4424,2014-08-11 07:00:00,0,-1.0
50082,4424,2014-08-11 09:00:00,0,-1.0
50083,4424,2014-08-11 10:00:00,0,-1.0
50084,4424,2014-08-11 11:00:00,0,-1.0
50085,4424,2014-08-11 12:00:00,0,-1.0
50086,4424,2014-08-11 13:00:00,0,-1.0
50087,4424,2014-08-11 14:00:00,0,-1.0
50088,4424,2014-08-11 15:00:00,0,-1.0
50089,4424,2014-08-11 16:00:00,0,-1.0
50090,4424,2014-08-11 17:00:00,0,-1.0
50091,4424,2014-08-11 18:00:00,0,-1.0
50092,4424,2014-08-11 19:00:00,0,-1.0
50093,4424,2014-08-11 20:00:00,0,-1.0
50094,4424,2014-08-11 21:00:00,0,-1.0
50095,4424,2014-08-11 22:00:00,0,-1.0
50096,4424,2014-08-11 23:00:00,0,-1.0
50097,4424,2014-08-12 00:00:00,0,-1.0
50098,4424,2014-08-12 01:00:00,0,-1.0
50099,4424,2014-08-12 02:00:00,0,-1.0
50100,4424,2014-08-12 03:00:00,0,-1.0
50101,4424,2014-08-12 04:00:00,0,-1.0
50102,4424,2014-08-12 05:00:00,0,-1.0
50103,4424,2014-08-12 06:00:00,0,-1.0
50104,4424,2014-08-12 07:00:00,0,-1.0
50105,4424,2014-08-12 08:00:00,0,-1.0
